epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5459,2.6524,4.64516,4.43581,0,0,0,0,2.05257,4.46186,4.15811,5.001e-05,5.001e-05,5.001e-05
2,75.1158,2.83812,4.46336,4.36816,0,0,0,0,2.0522,4.46175,4.15722,0.000115535,0.000115535,0.000115535
3,110.156,3.00886,4.21395,4.30357,0,0,0,0,2.05167,4.46306,4.15635,0.000179739,0.000179739,0.000179739
4,146.334,2.753,4.01152,4.23697,0,0,0,0,2.05098,4.46559,4.15546,0.000242624,0.000242624,0.000242624
5,180.899,2.94872,3.66634,4.13179,0,0,0,0,2.05049,4.46767,4.15527,0.000304187,0.000304187,0.000304187
6,222.08,3.01016,3.20753,4.02691,0,0,0,0,2.05009,4.47005,4.15551,0.000364431,0.000364431,0.000364431
7,258.711,2.88494,3.07583,3.98355,0,0,0,0,2.04971,4.47172,4.15617,0.000423355,0.000423355,0.000423355
8,293.53,2.70316,2.92207,3.92529,0,0,0,0,2.04958,4.47514,4.15771,0.000480958,0.000480958,0.000480958
9,342.312,2.55347,2.49784,3.75639,0,0,0,0,2.04981,4.48008,4.16152,0.000537241,0.000537241,0.000537241
10,379.998,2.58314,2.44052,3.64295,0,0,0,0,2.05719,4.47169,4.16236,0.000592203,0.000592203,0.000592203
11,415.888,2.41129,2.4614,3.54728,0,0,0,0,2.04602,4.46856,4.15846,0.000645846,0.000645846,0.000645846
12,450.238,2.21521,2.49437,3.46585,0,0,0,0,2.03755,4.46651,4.15894,0.000698168,0.000698168,0.000698168
13,485.052,2.47652,2.30612,3.27441,0,0,0,0,2.03849,4.44935,4.16318,0.00074917,0.00074917,0.00074917
14,522.834,2.30535,2.26443,3.20842,0,0,0,0,2.03858,4.43071,4.15839,0.000798851,0.000798851,0.000798851
15,557.702,2.27005,2.28666,3.12264,0,0,0,0,2.03875,4.42438,4.17553,0.000847213,0.000847213,0.000847213
